pt1_cam1_X,pt1_cam1_Y
972.028982,229.267614
974.085040,235.435789
976.141098,233.379731
976.141098,233.379731
976.141098,229.267614
976.141098,223.099440
976.141098,223.099440
976.141098,223.099440
976.141098,221.043382
976.141098,223.099440
976.141098,218.987324
978.197157,223.099440
982.309273,223.099440
972.028982,229.267614
972.028982,229.267614
972.028982,229.267614
972.028982,229.267614
969.972924,233.379731
969.972924,233.379731
976.141098,231.323673
976.141098,239.547905
976.141098,239.547905
976.141098,241.603963
974.085040,241.603963
969.972924,237.491847
969.972924,241.603963
969.972924,241.603963
969.972924,245.716079
974.085040,243.660021
972.028982,245.716079
972.028982,253.940312
967.916866,258.052428
967.916866,260.108486
967.916866,260.108486
967.916866,260.108486
967.916866,262.164544
967.916866,270.388776
967.916866,272.444834
967.916866,274.500892
965.860808,280.669067
965.860808,282.725125
965.860808,282.725125
963.804750,284.781183
961.748692,290.949357
961.748692,293.005415
961.748692,299.173589
961.748692,301.229648
957.636576,303.285706
953.524459,307.397822
953.524459,315.622054
953.524459,315.622054
953.524459,315.622054
951.468401,317.678112
951.468401,323.846286
951.468401,327.958403
949.412343,334.126577
949.412343,334.126577
947.356285,338.238693
945.300227,344.406867
945.300227,344.406867
943.244169,346.462925
937.075995,350.575042
937.075995,350.575042
935.019937,354.687158
935.019937,360.855332
932.963879,362.911390
932.963879,364.967448
932.963879,364.967448
932.963879,364.967448
928.851762,367.023506
926.795704,369.079564
926.795704,373.191681
924.739646,375.247739
928.851762,377.303797
928.851762,377.303797
922.683588,385.528029
922.683588,385.528029
922.683588,385.528029
924.739646,385.528029
924.739646,389.640145
920.627530,391.696203
918.571472,391.696203
916.515414,393.752261
916.515414,393.752261
916.515414,393.752261
916.515414,393.752261
914.459356,393.752261
914.459356,395.808319
914.459356,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
916.515414,397.864378
914.459356,397.864378
914.459356,395.808319
914.459356,393.752261
918.571472,389.640145
918.571472,387.584087
918.571472,387.584087
918.571472,387.584087
